model_name,accuracy,log_loss,brier_score
logistic_regression,0.5936760861446533,0.880188411713948,0.17282001511047781
random_forest,0.5853354910992158,0.9020367679091291,0.17695291141382732
xgboost,0.5890700858956803,0.8957469383372453,0.1757124301538359
lightgbm,0.5858334370720777,0.8992094417016878,0.17627831921683176
catboost,0.5938005726378688,0.8862031667648909,0.17381419145945795
