model_name,accuracy_argmax,accuracy_with_draw_threshold,log_loss,brier_score,draw_recall,draw_threshold,confusion_matrix
logistic_regression,0.591310842773559,0.591310842773559,0.8870874448088051,0.1739359466558027,0.006806282722513089,0.35000000000000014,"[[1431, 9, 892], [632, 13, 1265], [464, 21, 3306]]"
random_forest,0.5911863562803436,0.5818498692891821,0.8942433738067386,0.17506281955171552,0.1544502617801047,0.3100000000000001,"[[1245, 322, 765], [488, 295, 1127], [349, 308, 3134]]"
xgboost,0.5930536536785759,0.5792356529316569,0.8946401517141306,0.17500391612101998,0.13926701570680627,0.3100000000000001,"[[1323, 270, 739], [552, 266, 1092], [399, 328, 3064]]"
lightgbm,0.5911863562803436,0.5777418150130711,0.8997141158331793,0.17601193552762628,0.11884816753926701,0.3100000000000001,"[[1317, 246, 769], [556, 227, 1127], [415, 279, 3097]]"
catboost,0.5946719780903772,0.5906884103074816,0.8904235795082136,0.17413745969272001,0.1,0.3300000000000001,"[[1388, 185, 759], [581, 191, 1138], [426, 199, 3166]]"
ensemble,0.5938005726378688,0.5858334370720777,0.8836369654489752,0.17317238881058328,0.15392670157068064,0.3100000000000001,"[[1340, 287, 705], [548, 294, 1068], [399, 320, 3072]]"
